WID,EffectiveDate
d9e76a0a80fe01477bff3dad3c01b5d5,2022-12-31
d9e76a0a80fe01f93ebf7a34222019bdd,2022-10-30
d9e76a0a80fe0150d19c64e32220106d0,2023-03-22
d9e76a0a80fe01a84dea6fd2201efcc,2023-06-29
d9e76a0a80fe015ee7a2fdd22201accf,2023-03-22
d9e76a0a80fe01e761ae32e222018cd1,2023-03-22
d9e76a0a80fe0100648045de220166ce,2023-04-29
d9e76a0a80fe011990fcc0d1110130cd,2023-06-01
d9e76a0a80fe0188af6efadc110162cd,2023-06-29
d9e76a0a80fe010a4ced29dc2701b8cc,2023-03-22
d9e76a0a80fe01bc766194eb2301e2d7,2023-03-19
